CPIDR 3.2.3738.41169
Mode	Ideas	Words	Density
Norm	 7494	23274	  0.322	"places_chunk.000"
Norm	 7011	22554	  0.311	"places_chunk.001"
Norm	 5529	17073	  0.324	"places_chunk.002"
Norm	 7268	22950	  0.317	"places_chunk.003"
Norm	 3437	11863	  0.290	"places_chunk.004"
Norm	 4543	14625	  0.311	"places_chunk.005"
Norm	 4800	14943	  0.321	"places_chunk.006"
Norm	 4532	14426	  0.314	"places_chunk.007"
Norm	 5056	15752	  0.321	"places_chunk.008"
Norm	 6340	18425	  0.344	"places_chunk.009"
Norm	 6087	17499	  0.348	"places_chunk.010"
Norm	 6270	17811	  0.352	"places_chunk.011"
Norm	 6025	17379	  0.347	"places_chunk.012"
Norm	 6238	17704	  0.352	"places_chunk.013"
Norm	 6140	17540	  0.350	"places_chunk.014"
Norm	 6213	17746	  0.350	"places_chunk.015"
Norm	 6215	17853	  0.348	"places_chunk.016"
Norm	 6238	17601	  0.354	"places_chunk.017"
Norm	 6069	17354	  0.350	"places_chunk.018"
Norm	 6024	17299	  0.348	"places_chunk.019"
Norm	 6234	17453	  0.357	"places_chunk.020"
Norm	 6257	17936	  0.349	"places_chunk.021"
Norm	 6175	17709	  0.349	"places_chunk.022"
Norm	 6125	17733	  0.345	"places_chunk.023"
Norm	 6162	17637	  0.349	"places_chunk.024"
Norm	 6100	17334	  0.352	"places_chunk.025"
Norm	 6332	18108	  0.350	"places_chunk.026"
Norm	 5992	16956	  0.353	"places_chunk.027"
Norm	 5922	17285	  0.343	"places_chunk.028"
Norm	 8675	26093	  0.332	"places_chunk.029"
Norm	 7237	22528	  0.321	"places_chunk.030"
Norm	 6337	20154	  0.314	"places_chunk.031"
Norm	 6416	20289	  0.316	"places_chunk.032"
Norm	 6637	20690	  0.321	"places_chunk.033"
Norm	 6600	20393	  0.324	"places_chunk.034"
Norm	 6487	20522	  0.316	"places_chunk.035"
Norm	 6448	20494	  0.315	"places_chunk.036"
Norm	 6491	20463	  0.317	"places_chunk.037"
Norm	 7485	22865	  0.327	"places_chunk.038"
Norm	 5543	17435	  0.318	"places_chunk.039"
Norm	 4994	15290	  0.327	"places_chunk.040"
Norm	 4983	15382	  0.324	"places_chunk.041"
Norm	 4853	15167	  0.320	"places_chunk.042"
Norm	 5033	15431	  0.326	"places_chunk.043"
Norm	 4897	15310	  0.320	"places_chunk.044"
Norm	 4919	15167	  0.324	"places_chunk.045"
Norm	 5006	15351	  0.326	"places_chunk.046"
Norm	 4870	15134	  0.322	"places_chunk.047"
Norm	 4057	12856	  0.316	"places_chunk.048"
Norm	 3105	10030	  0.310	"places_chunk.049"
Norm	 3049	 9867	  0.309	"places_chunk.050"
Norm	 3055	 9933	  0.308	"places_chunk.051"
Norm	 3432	11047	  0.311	"places_chunk.052"
Norm	 4974	16494	  0.302	"places_chunk.053"
Norm	 3743	13524	  0.277	"places_chunk.054"
Norm	 3635	13209	  0.275	"places_chunk.055"
Norm	 3534	13224	  0.267	"places_chunk.056"
Norm	 3616	13278	  0.272	"places_chunk.057"
Norm	 3641	13281	  0.274	"places_chunk.058"
Norm	 5737	17943	  0.320	"places_chunk.059"
Norm	 5753	17883	  0.322	"places_chunk.060"
Norm	 5761	17973	  0.321	"places_chunk.061"
Norm	 5757	17979	  0.320	"places_chunk.062"
Norm	 5716	17826	  0.321	"places_chunk.063"
Norm	 5641	17826	  0.316	"places_chunk.064"
Norm	 5734	17848	  0.321	"places_chunk.065"
Norm	 5800	18014	  0.322	"places_chunk.066"
Norm	 5629	17780	  0.317	"places_chunk.067"
Norm	 5775	18101	  0.319	"places_chunk.068"
Norm	 5657	17979	  0.315	"places_chunk.069"
Norm	 6157	18986	  0.324	"places_chunk.070"
Norm	 7357	21491	  0.342	"places_chunk.071"
Norm	 7679	23061	  0.333	"places_chunk.072"
Norm	 8356	25997	  0.321	"places_chunk.073"
Norm	 9236	27865	  0.331	"places_chunk.074"
Norm	 5316	16830	  0.316	"places_chunk.075"
Norm	 7903	24667	  0.320	"places_chunk.076"
Norm	 7784	24227	  0.321	"places_chunk.077"
Norm	 9771	29227	  0.334	"places_chunk.078"
Norm	 8582	24826	  0.346	"places_chunk.079"
Norm	 8834	25939	  0.341	"places_chunk.080"
Norm	 8283	25502	  0.325	"places_chunk.081"
Norm	 4350	13413	  0.324	"places_chunk.082"
Norm	 6933	22236	  0.312	"places_chunk.083"
Norm	 6317	20226	  0.312	"places_chunk.084"
Norm	 6301	19783	  0.319	"places_chunk.085"
Norm	 6631	20453	  0.324	"places_chunk.086"
Norm	 4315	13816	  0.312	"places_chunk.087"
Norm	 5024	16375	  0.307	"places_chunk.088"
Norm	 4537	15113	  0.300	"places_chunk.089"
Norm	 4514	15250	  0.296	"places_chunk.090"
Norm	 4128	14756	  0.280	"places_chunk.091"
Norm	 4213	14877	  0.283	"places_chunk.092"
Norm	 4344	13475	  0.322	"places_chunk.093"
Norm	 4242	13205	  0.321	"places_chunk.094"
Norm	 4330	13387	  0.323	"places_chunk.095"
Norm	 6437	20299	  0.317	"places_chunk.096"
Norm	 7738	26034	  0.297	"places_chunk.097"
Norm	10061	29394	  0.342	"places_chunk.098"
Norm	 7700	23143	  0.333	"places_chunk.099"
